年周,开始日期,项目/车型,产品编码,产品名称,单位,单车用量,星期日,星期一,星期二,星期三,星期四,星期五,星期六,计划量,完成量,完成率,属性
2026_18,2026-04-26,SEA1/EF1E,500109-00584-10-01-11-01,SEA1两侧梁-左(584),个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_18,2026-04-26,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_18,2026-04-26,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,,,,,,,,0,,,本厂
2026_18,2026-04-26,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,60.0,60.0,60.0,60.0,1.0,1.0,1.0,243,,,本厂
2026_18,2026-04-26,F3-56,500109-00677-01-02,F3-56-后梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,36.0,600.0,本厂
2026_18,2026-04-26,F3-56,500109-00677-01-10,F3-56-膨胀梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,20.0,333.0,本厂
2026_18,2026-04-26,F3-56,500109-00677-01-01,F3-56-前梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,105.0,1750.0,本厂
2026_18,2026-04-26,F3-56,500109-00677-01-09,F3-56-中部横梁,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,281.0,4683.0,本厂
2026_18,2026-04-26,F3-56,500109-00677-01-03,F3-56-左右边梁01,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,102.0,1700.0,本厂
2026_18,2026-04-26,F3-56,500109-00677-01-04,F3-56-左右边梁02,个,1,,1.0,1.0,1.0,1.0,1.0,1.0,6,83.0,1383.0,本厂
2026_18,2026-04-26,F1L,500109-00634-01-01-02,F1L-两侧梁右,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_18,2026-04-26,F1L,500109-00634-01-01-01,F1L-两侧梁左,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_18,2026-04-26,E35,500109-00312-01-15,E35横梁02,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,,,本厂
2026_18,2026-04-26,E35,500109-00312-01-16,E35横梁03,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,,,本厂
2026_18,2026-04-26,DJ2436,5040076374-XC-14,DJ2436中部横梁,个,1,1.0,1.0,1.0,,,,,3,,,本厂
2026_18,2026-04-26,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_18,2026-04-26,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_18,2026-04-26,BV85,BV85-B-XC-018,BV85冷板加强板03,个,1,320.0,200.0,,,,,,520,717.0,138.0,本厂
2026_18,2026-04-26,BV85,BV85-B-XC-005,BV85右边梁,个,1,90.0,50.0,,,,,,140,349.0,249.0,本厂
2026_18,2026-04-26,BV85,BV85-B-XC-008,BV85中横梁,个,1,1.0,200.0,,,,,,201,257.0,128.0,本厂
2026_18,2026-04-26,BV85,BV85-B-XC-004,BV85左边梁,个,1,100.0,100.0,50.0,1.0,,,,251,588.0,234.0,本厂
2026_18,2026-04-26,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,2372.0,178.0,本厂
2026_18,2026-04-26,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,2035.0,171.0,本厂
2026_18,2026-04-26,37KWH,500109-00515（552）-01-07,37/53KWH膨胀梁,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,2105.0,91.0,本厂
2026_18,2026-04-26,37KWH,500109-00515-01-06,37KWH前梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,1518.0,99.0,本厂
2026_18,2026-04-26,025AC,10062035-0-04-A,025AC后边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1441,1130.0,78.0,本厂
2026_18,2026-04-26,025AC,10062035-0-05,025AC前横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,497.0,38.0,本厂
2026_18,2026-04-26,025AC,10062035-0-11,025AC右边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,839.0,68.0,本厂
2026_18,2026-04-26,025AC,10062035-0-06,025AC中横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,328.0,25.0,本厂
2026_18,2026-04-26,025AC,10062035-0-07,025AC纵梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,669.0,51.0,本厂
2026_18,2026-04-26,025AC,10062035-0-03,025AC左边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,712.0,58.0,本厂
2026_17,2026-04-19,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,1.0,1.0,1.0,120.0,120.0,120.0,120.0,483,379.0,78.0,本厂
2026_17,2026-04-19,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,1.0,1.0,1.0,120.0,120.0,120.0,120.0,483,753.0,156.0,本厂
2026_17,2026-04-19,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,503.0,80.0,本厂
2026_17,2026-04-19,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,596.0,95.0,本厂
2026_17,2026-04-19,SEA1/EF1E,500109-00584-10-01-11-02,SEA1两侧梁-右(584),个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_17,2026-04-19,SEA1/EF1E,500109-00584-10-01-11-01,SEA1两侧梁-左(584),个,1,,,1.0,1.0,1.0,1.0,1.0,5,,,本厂
2026_17,2026-04-19,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,,,1.0,1.0,1.0,1.0,1.0,5,4.0,80.0,本厂
2026_17,2026-04-19,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,,,,,,,,0,40.0,,本厂
2026_17,2026-04-19,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,423.0,101.0,本厂
2026_17,2026-04-19,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,85.0,20.0,本厂
2026_17,2026-04-19,F1L,500109-00634-01-01-02,F1L-两侧梁右,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_17,2026-04-19,F1L,500109-00634-01-01-01,F1L-两侧梁左,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_17,2026-04-19,E35,500109-00312-01-15,E35横梁02,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,1.0,0.0,本厂
2026_17,2026-04-19,E35,500109-00312-01-16,E35横梁03,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,8.0,1.0,本厂
2026_17,2026-04-19,DJ2436,5040076374-XC-14,DJ2436中部横梁,个,1,1.0,1.0,1.0,,,,,3,,,本厂
2026_17,2026-04-19,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,10.0,6.0,本厂
2026_17,2026-04-19,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_17,2026-04-19,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,1859.0,140.0,本厂
2026_17,2026-04-19,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,2566.0,216.0,本厂
2026_17,2026-04-19,37KWH,500109-00515（552）-01-07,37/53KWH膨胀梁,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,4200.0,182.0,本厂
2026_17,2026-04-19,37KWH,500109-00515-01-06,37KWH前梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,3110.0,202.0,本厂
2026_17,2026-04-19,025AC,10062035-0-04-A,025AC后边梁,个,1,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1441,1187.0,82.0,本厂
2026_17,2026-04-19,025AC,10062035-0-05,025AC前横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1331.0,101.0,本厂
2026_17,2026-04-19,025AC,10062035-0-11,025AC右边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,1098.0,90.0,本厂
2026_17,2026-04-19,025AC,10062035-0-06,025AC中横梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1265.0,96.0,本厂
2026_17,2026-04-19,025AC,10062035-0-07,025AC纵梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,1.0,1321,1384.0,105.0,本厂
2026_17,2026-04-19,025AC,10062035-0-03,025AC左边梁,个,1,175.0,175.0,175.0,175.0,175.0,175.0,175.0,1225,1081.0,88.0,本厂
2026_16,2026-04-12,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,1.0,1.0,1.0,120.0,120.0,120.0,120.0,483,395.0,82.0,本厂
2026_16,2026-04-12,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,1.0,1.0,1.0,120.0,120.0,120.0,120.0,483,265.0,55.0,本厂
2026_16,2026-04-12,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,433.0,69.0,本厂
2026_16,2026-04-12,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,630,596.0,95.0,本厂
2026_16,2026-04-12,SEA1/EF1E,500109-00584-10-01-11-02,SEA1两侧梁-右(584),个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,502.0,72.0,本厂
2026_16,2026-04-12,SEA1/EF1E,500109-00584-10-01-11-01,SEA1两侧梁-左(584),个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,506.0,72.0,本厂
2026_16,2026-04-12,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,180.0,180.0,1.0,1.0,1.0,1.0,1.0,365,223.0,61.0,本厂
2026_16,2026-04-12,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,110.0,110.0,110.0,110.0,1.0,1.0,1.0,443,422.0,95.0,本厂
2026_16,2026-04-12,SD01-61,SD01-61KWH-B-XC-009,SD01中横梁,个,1,160.0,160.0,160.0,160.0,1.0,1.0,,642,742.0,116.0,本厂
2026_16,2026-04-12,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,139.0,33.0,本厂
2026_16,2026-04-12,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,429.0,102.0,本厂
2026_16,2026-04-12,F1L,500109-00634-01-01-02,F1L-两侧梁右,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_16,2026-04-12,F1L,500109-00634-01-01-01,F1L-两侧梁左,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_16,2026-04-12,E35,500109-00312-01-15,E35横梁02,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,2.0,0.0,本厂
2026_16,2026-04-12,E35,500109-00312-01-16,E35横梁03,个,1,260.0,260.0,260.0,260.0,1.0,1.0,1.0,1043,596.0,57.0,本厂
2026_16,2026-04-12,DJ2436,5040076374-XC-14,DJ2436中部横梁,个,1,1.0,1.0,1.0,,,,,3,,,本厂
2026_16,2026-04-12,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_16,2026-04-12,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_16,2026-04-12,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,1330,2589.0,195.0,本厂
2026_16,2026-04-12,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,2188.0,184.0,本厂
2026_16,2026-04-12,53KWH,500109-00515-01--07,53KWH膨胀梁,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,3596.0,156.0,本厂
2026_16,2026-04-12,37KWH,500109-00515-01-06,37KWH前梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,3488.0,226.0,本厂
2026_16,2026-04-12,025AC,10062035-0-11,025AC右边梁,个,1,151.0,151.0,151.0,151.0,151.0,151.0,151.0,1057,953.0,90.0,本厂
2026_16,2026-04-12,025AC,10062035-0-03,025AC左边梁,个,1,155.0,155.0,155.0,155.0,155.0,155.0,155.0,1085,951.0,88.0,本厂
2026_15,2026-04-05,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,481.0,57.0,本厂
2026_15,2026-04-05,SEA1/EF1E,500109-00584-10-01-11-02,SEA1两侧梁-右(584),个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,781.0,112.0,本厂
2026_15,2026-04-05,SEA1/EF1E,500109-00584-10-01-11-01,SEA1两侧梁-左(584),个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,850.0,121.0,本厂
2026_15,2026-04-05,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,110.0,110.0,110.0,110.0,110.0,110.0,110.0,770,650.0,84.0,本厂
2026_15,2026-04-05,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,2.0,0.0,本厂
2026_15,2026-04-05,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,7.0,2.0,本厂
2026_15,2026-04-05,EPA2,500109-00279-01-09,EPA2纵梁,个,1,160.0,160.0,160.0,,,,,480,348.0,73.0,本厂
2026_15,2026-04-05,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_15,2026-04-05,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_15,2026-04-05,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,1050,1868.0,178.0,本厂
2026_15,2026-04-05,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,1050,1975.0,188.0,本厂
2026_15,2026-04-05,53KWH,500109-00515-01--07,53KWH膨胀梁,个,1,330.0,330.0,330.0,330.0,330.0,330.0,330.0,2310,3014.0,130.0,本厂
2026_15,2026-04-05,37KWH,500109-00515-01-06,37KWH前梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,2489.0,162.0,本厂
2026_15,2026-04-05,025AC,10062035-0-11,025AC右边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,845.0,101.0,本厂
2026_15,2026-04-05,025AC,10062035-0-03,025AC左边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,880.0,105.0,本厂
2026_14,2026-03-29,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,513.0,61.0,本厂
2026_14,2026-03-29,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,1.0,1.0,1.0,1.0,1.0,,,5,,,本厂
2026_14,2026-03-29,SEA1/EF1E,500604-00169-002,SEA1底护板-01(宽),个,1,1.0,1.0,1.0,1.0,1.0,,,5,2773.0,55460.0,本厂
2026_14,2026-03-29,SEA1/EF1E,500604-00169-007,SEA1底护板-06(窄),个,1,1.0,1.0,1.0,1.0,1.0,,,5,1309.0,26180.0,本厂
2026_14,2026-03-29,SEA1/EF1E,500109-00584-10-01-11-02,SEA1两侧梁-右(584),个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,724.0,103.0,本厂
2026_14,2026-03-29,SEA1/EF1E,500109-00584-10-01-11-01,SEA1两侧梁-左(584),个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,584.0,83.0,本厂
2026_14,2026-03-29,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,,,,1.0,1.0,1.0,1.0,4,,,本厂
2026_14,2026-03-29,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,110.0,110.0,110.0,110.0,110.0,110.0,110.0,770,677.0,88.0,本厂
2026_14,2026-03-29,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,277.0,66.0,本厂
2026_14,2026-03-29,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,420,296.0,70.0,本厂
2026_14,2026-03-29,EPA2,500109-00279-01-09,EPA2纵梁,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,761.0,60.0,本厂
2026_14,2026-03-29,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_14,2026-03-29,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_14,2026-03-29,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,1050,2186.0,208.0,本厂
2026_14,2026-03-29,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,1050,1957.0,186.0,本厂
2026_14,2026-03-29,37KWH,500109-00515-01-06,37KWH前梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,2439.0,158.0,本厂
2026_14,2026-03-29,025AC,10062035-0-11,025AC右边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,539.0,64.0,本厂
2026_14,2026-03-29,025AC,10062035-0-03,025AC左边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,955.0,114.0,本厂
2026_13,2026-03-22,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,409.0,45.0,本厂
2026_13,2026-03-22,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,831.0,54.0,本厂
2026_13,2026-03-22,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,682.0,57.0,本厂
2026_13,2026-03-22,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,648.0,54.0,本厂
2026_13,2026-03-22,SEA1/EF1E,500109-00276-10-01-11-R,SEA1两侧梁-右,个,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,304,98.0,32.0,本厂
2026_13,2026-03-22,SEA1/EF1E,500109-00276-10-01-11-L,SEA1两侧梁-左,个,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,304,83.0,27.0,本厂
2026_13,2026-03-22,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,1.0,1.0,1.0,1.0,180.0,180.0,180.0,544,281.0,52.0,本厂
2026_13,2026-03-22,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,120.0,120.0,1.0,1.0,120.0,120.0,120.0,602,793.0,132.0,本厂
2026_13,2026-03-22,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,1.0,1.0,1.0,1.0,,,,4,177.0,4425.0,本厂
2026_13,2026-03-22,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,1.0,1.0,1.0,1.0,,,,4,253.0,6325.0,本厂
2026_13,2026-03-22,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,2.0,1.0,本厂
2026_13,2026-03-22,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,2.0,1.0,本厂
2026_13,2026-03-22,BV85,BV85-B-XC-006,BV85后边梁,个,1,1.0,1.0,1.0,1.0,,,,4,321.0,8025.0,本厂
2026_13,2026-03-22,BV85,BV85-B-XC-018,BV85冷板加强板03,个,1,1.0,1.0,1.0,1.0,,,,4,370.0,9250.0,本厂
2026_13,2026-03-22,BV85,BV85-B-XC-005,BV85右边梁,个,1,1.0,1.0,1.0,1.0,,,,4,8.0,200.0,本厂
2026_13,2026-03-22,BV85,BV85-B-XC-004,BV85左边梁,个,1,1.0,1.0,1.0,1.0,,,,4,392.0,9800.0,本厂
2026_13,2026-03-22,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,1745.0,192.0,本厂
2026_13,2026-03-22,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,2237.0,246.0,本厂
2026_13,2026-03-22,025AC,10062035-0-11,025AC右边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,2.0,0.0,本厂
2026_13,2026-03-22,025AC,10062035-0-03,025AC左边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,8.0,1.0,本厂
2026_12,2026-03-15,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,705.0,77.0,本厂
2026_12,2026-03-15,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,815.0,53.0,本厂
2026_12,2026-03-15,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,598.0,50.0,本厂
2026_12,2026-03-15,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,560.0,47.0,本厂
2026_12,2026-03-15,SEA1/EF1E,500109-00276-10-01-11-R,SEA1两侧梁-右,个,1,,1.0,1.0,1.0,100.0,100.0,100.0,303,50.0,17.0,本厂
2026_12,2026-03-15,SEA1/EF1E,500109-00276-10-01-11-L,SEA1两侧梁-左,个,1,,1.0,1.0,1.0,100.0,100.0,100.0,303,50.0,17.0,本厂
2026_12,2026-03-15,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,,1.0,1.0,1.0,180.0,180.0,180.0,543,1178.0,217.0,本厂
2026_12,2026-03-15,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,,1.0,1.0,1.0,120.0,120.0,120.0,363,401.0,110.0,本厂
2026_12,2026-03-15,PP-0168,2.A.02.6184-OSP00,PP-0168-右边梁,个,1,1.0,1.0,1.0,1.0,1.0,,,5,669.0,13380.0,本厂
2026_12,2026-03-15,PP-0168,2.A.02.6186-OSP00,PP-0168-左边梁,个,1,1.0,1.0,1.0,1.0,1.0,,,5,262.0,5240.0,本厂
2026_12,2026-03-15,PMA1,500109-00293-10-07,PMA1后补强梁,个,1,180.0,1.0,1.0,1.0,1.0,1.0,1.0,186,,,本厂
2026_12,2026-03-15,PMA1,500109-00562-10-01-11-02,PMA1两侧梁-右（国际）,个,1,100.0,1.0,1.0,1.0,1.0,1.0,1.0,106,144.0,136.0,本厂
2026_12,2026-03-15,PMA1,500109-00562-10-01-11-01,PMA1两侧梁-左（国际）,个,1,100.0,1.0,1.0,1.0,1.0,1.0,1.0,106,141.0,133.0,本厂
2026_12,2026-03-15,PMA1,500109-00562-10-03,PMA1前梁（国际）,个,1,120.0,1.0,1.0,1.0,1.0,1.0,1.0,126,35.0,28.0,本厂
2026_12,2026-03-15,C01,500109-00249-01-02,C01右边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,150.0,156,,,本厂
2026_12,2026-03-15,C01,500109-00249-01-01,C01左边框,个,1,1.0,1.0,1.0,1.0,1.0,1.0,140.0,146,,,本厂
2026_12,2026-03-15,AWT-87.3(E16),500110-00799-01-02,AWT87.3-横梁01,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,1550.0,170.0,本厂
2026_12,2026-03-15,AWT-87.3(E16),500110-00799-01-03,AWT87.3-横梁02,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,1518.0,167.0,本厂
2026_12,2026-03-15,025AC,10062035-0-11,025AC右边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,455.0,54.0,本厂
2026_12,2026-03-15,025AC,10062035-0-03,025AC左边梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,396.0,47.0,本厂
2026_11,2026-03-08,小卡三代,500104-00518-01-05-B,小卡三代-后膨胀梁,个,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,910,638.0,70.0,本厂
2026_11,2026-03-08,小卡三代,500104-00518-01-03-C,小卡三代-前边框梁,个,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1540,842.0,55.0,本厂
2026_11,2026-03-08,小卡三代,500104-00518-01-010-02-C,小卡三代-右边框,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,605.0,51.0,本厂
2026_11,2026-03-08,小卡三代,500104-00518-01-010-01-C,小卡三代-左边框,个,1,170.0,170.0,170.0,170.0,170.0,170.0,170.0,1190,640.0,54.0,本厂
2026_11,2026-03-08,面板,445-B,面板445新状态,个,1,45.0,45.0,45.0,1.0,1.0,1.0,1.0,139,267.0,192.0,本厂
2026_11,2026-03-08,面板,446,面板446,个,1,45.0,45.0,45.0,1.0,1.0,1.0,1.0,139,152.0,109.0,本厂
2026_11,2026-03-08,SEA1/EF1E,500109-00276-10-01-11-R,SEA1两侧梁-右,个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,,,本厂
2026_11,2026-03-08,SEA1/EF1E,500109-00276-10-01-11-L,SEA1两侧梁-左,个,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,700,,,本厂
2026_11,2026-03-08,SEA1/EF1E,500109-00406-10-07,SEA1前补强梁,个,1,180.0,180.0,180.0,180.0,180.0,180.0,180.0,1260,641.0,51.0,本厂
2026_11,2026-03-08,SEA1/EF1E,500109-00406-10-03,SEA1前梁,个,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,840,,,本厂
2026_11,2026-03-08,PMA1,500109-00293-10-07,PMA1后补强梁,个,1,180.0,180.0,1.0,1.0,1.0,1.0,1.0,365,639.0,175.0,本厂
2026_11,2026-03-08,PMA1,500109-00562-10-01-11-02,PMA1两侧梁-右（国际）,个,1,100.0,100.0,100.0,100.0,100.0,1.0,1.0,502,643.0,128.0,本厂
2026_11,2026-03-08,PMA1,500109-00562-10-01-11-01,PMA1两侧梁-左（国际）,个,1,100.0,100.0,100.0,100.0,100.0,1.0,1.0,502,589.0,117.0,本厂
