制程码,公司名称,工序,机台,生产车间,物料编码,物料名称,规格型号,单位,合格品,不良品,报工人员,报工时间,标签来源
R20260530-6385-CQYXL-2555,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/31 5:21:45,合批标签
R20260530-6360-CQYXL-2576,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/31 5:02:55,合批标签
R20260530-6405-CQYXL-2578,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,,件,50,0,YXL-JG0008,2026/5/31 4:49:03,合批标签
R20260601-6464-CQYXL-2575,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,100,0,YXL-JG0008,2026/5/31 4:44:32,独立标签
R20260530-6362-CQYXL-2512,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4533-00-00,小卡三代-左边框,500104-00518-01-010-01-C,个,50,0,YXL-JG0008,2026/5/31 3:52:39,合批标签
R20260530-6356-CQYXL-2566,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/31 1:40:33,合批标签
R20260601-6463-CQYXL-2565,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/31 1:40:15,独立标签
R20260530-6403-CQYXL-2531,重庆元新隆,机加工,德力2.5米,本厂,Q250906-4535-00-00,小卡三代-右边框,500104-00518-01-010-02-C,个,50,0,YXL-JG0008,2026/5/31 0:14:17,合批标签
R20260530-6357-CQYXL-2542,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/30 23:08:43,独立标签
R20260601-6463-CQYXL-2554,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/30 22:55:13,合批标签
R20260530-6360-CQYXL-2534,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/30 22:37:18,独立标签
R20260530-6397-CQYXL-2511,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,,个,80,0,YXL-JG0008,2026/5/30 22:37:10,合批标签
R20260530-6378-CQYXL-2488,重庆元新隆,机加工,德玛仕1.6米,本厂,Q240930-8180-00-00,C01左边框,500109-00249-01-01,件,50,0,YXL-JG0008,2026/5/30 19:34:53,合批标签
R20260529-6393-CQYXL-2520,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,10062035-0-04-A,个,100,0,YXL-JG0008,2026/5/30 19:04:35,合批标签
R20260530-6385-CQYXL-2518,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/30 18:47:55,合批标签
R20260530-6384-CQYXL-2519,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/30 18:13:48,合批标签
R20260530-6356-CQYXL-2526,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/30 18:08:15,独立标签
R20260530-6383-CQYXL-2514,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4556-00-00,AWT87.3-横梁02,500110-00799-01-03,个,100,0,YXL-JG0008,2026/5/30 18:00:44,独立标签
R20260530-6401-CQYXL-2517,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/30 17:14:28,独立标签
R260530027-000-CQYXL-2513,重庆元新隆,,,亿企,2.A.02.6200-OSP00,PP-0168-前边梁,502.8,个,72,0,YXL-ZC0001,2026/5/30 16:52:04,独立标签
R20260525-6148-CQYXL-1930,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4533-00-00,小卡三代-左边框,500104-00518-01-010-01-C,个,50,0,YXL-JG0005,2026/5/30 13:42:27,合批标签
R20260530-6397-CQYXL-2483,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,10062035-0-05,个,100,0,YXL-JG0005,2026/5/30 13:41:53,独立标签
R20260530-6356-CQYXL-2499,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3768-00-00,025AC左边梁,1657.98,个,50,0,YXL-JG0008,2026/5/30 13:41:32,合批标签
R20260529-6310-CQYXL-2422,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3772-00-00,025AC右边梁,1657.98,个,50,0,YXL-JG0008,2026/5/30 13:33:21,独立标签
R20260529-6328-CQYXL-2358,重庆元新隆,机加,德力2.5米,本厂,500109-00249-01-02,C01右边框,500109-00249-01-02,件,50,0,YXL-JG0008,2026/5/30 13:32:43,合批标签
R20260529-6332-CQYXL-2471,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,100,0,YXL-JG0008,2026/5/30 13:30:05,独立标签
R20260530-6359-CQYXL-2506,重庆元新隆,机加工,德力2.5米,本厂,Q250325-3778-00-00,025AC纵梁,1515.4,个,200,0,YXL-JG0008,2026/5/30 13:29:27,合批标签
R20260530-6401-CQYXL-2505,重庆元新隆,侧铣,德力2.5米,本厂,Q260402-7649-00-00,37/53KWH膨胀梁,500109-00515（552）-01-07,个,220,0,YXL-JG0008,2026/5/30 13:17:41,合批标签
R20260530-6382-CQYXL-2509,重庆元新隆,侧铣,德力2.5米,本厂,Q251129-4555-00-00,AWT87.3-横梁01,500110-00799-01-02,个,99,0,YXL-JG0008,2026/5/30 13:15:18,独立标签
R20260530-6357-CQYXL-2487,重庆元新隆,机加工,德玛仕1.6米,本厂,Q250325-3774-00-00,025AC前横梁,1293,个,100,0,YXL-JG0008,2026/5/30 13:00:52,独立标签
R20260529-6391-CQYXL-2470,重庆元新隆,机加工,德力2.5米,本厂,Q260402-4790-00-00,F618-前梁01,500110-00848-01-01,个,12,0,YXL-JG0008,2026/5/30 10:55:50,独立标签
R20260530-6385-CQYXL-2480,重庆元新隆,机加工,德玛仕2.5米,本厂,Q250906-4540-00-00,小卡三代-后膨胀梁,500104-00518-01-05-B,个,42,0,YXL-JG0008,2026/5/30 7:42:11,独立标签
R20260529-6393-CQYXL-2476,重庆元新隆,机加工,德力2.5米,本厂,Q250417-4248-00-00,025AC后边梁,10062035-0-04-A,个,100,0,YXL-JG0008,2026/5/30 7:34:30,独立标签
