产品编码,产品名称,领料物资ID,材料规格,领料物资名称,产品/项目,单台用量,毛坯重【KG】,产品重【KG】,铝块重【KG】,铝屑重【KG】,领料单位,默认客户
500109-00552-01-02,53KWH左右边梁1,500109-00515-01-02-YL-GY,1228.448,37KWH左右边梁,53KWH,1,9.25,6.45,2.0,0.8,质检部,祥鑫
500109-00552-01-03,53KWH左右边梁2（552）,500109-00515-01-02-YL-GY,1228.448,37KWH左右边梁,53KWH,1,9.25,6.45,2.0,0.8,质检部,祥鑫
500109-00552-01-06,53KWH前梁（552）,500109-00515-01-06-YL,1210.371,37KWH前梁,53KWH,1,3.832,3.15,0.0,0.682,质检部,祥鑫
500109-00552-01-10,53KWH中间纵梁（552）,500109-00515-01-10-YL-GY,1011.42,37KWH中间纵梁,53KWH,2,1.582,1.536,0.0,0.046,外协,祥鑫
500104-00746/747-02-01,AB01-747/746-塞块01,500104-00746/747-02-01-YL-GY,90.3,AB01-747/746-塞块01,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00746/747-02-01-01,AB01-746/747-塞块01-01,500104-00746/747-02-01-YL-GY,90.9,AB01-747/746-塞块01,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00746-01-01-C,AB01-746-下箱体集成水冷板左,500104-00746-01-7-C/01-C-YL,2051,AB01-746-下箱体集成水冷板左/右,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00746-01-04-B,AB01-746-后膨胀梁,500104-00746-01-04-B-YL,633,AB01-746-后膨胀梁,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00746-01-04-L-B,AB01-746-后膨胀梁分总成,500104-00746-01-04-L-B-YL,633,AB01-746-后膨胀梁分总成,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00746-01-7,AB01-746-下箱体集成水冷板右,500104-00747-01-01-C/007-C-YL,1037.8,AB01-747-下箱体集成水冷板左/右,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00746-01-CX-L-B,左右水冷板侧铣分总成（746）,500104-00746-01-CX-L-B-YL,1751.14,左右水冷板侧铣分总成（746）,AB01,1,18.2,17.9,0.0,0.3,质检部,联伟
500104-00747-01-004-B,AB01-747-后膨胀梁,500104-00747-01-004-B-YL,633,AB01-747-后膨胀梁,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00747-01-007-C,AB01-747-下箱体集成水冷板右,500104-00747-01-007-C-YL,1037.8,AB01-747-下箱体集成水冷板右,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00747-01-01-C,AB01-747-下箱体集成水冷板左,500104-00747-01-01-C-YL,1037.8,AB01-747-下箱体集成水冷板左,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00747-01-04-L-B,AB01-747-后膨胀梁分总成,500104-00747-01-04-L-B-YL,633,AB01-747-后膨胀梁分总成,AB01,1,0.0,0.0,0.0,0.0,质检部,联伟
500104-00747-01-CX-L-B,左右水冷板侧铣分总成,500104-00747-01-CX-L-B-YL,1038,左右水冷板侧铣分总成,AB01,1,8.7,8.5,0.0,0.2,质检部,联伟
