单据号,物资编码,物资名称,计量单位,入出库编码,入出库类型,入出库标识,库房,业务时间,数量,核算期,审核人,部门,用途,合作伙伴,单据描述,行描述,要货日期,审核时间
BGC260527033,10062035-0-06-YL,025AC中横梁,个,CRK04,生产领用,C,原材料库,2026/5/27 15:06:01,62,202605,YXL-JG0133,王志旭,生产,,生产领料,R20260527-6224-CQYXL,2026/5/27 0:00:00,2026/5/27 15:09:21
ZZKCK260527018,500104-00518-01-05-B,小卡三代-后膨胀梁,个,CRK32,包装出库,C,在制成品库,2026/5/27 15:03:12,160,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260527_9075,2026/5/27 0:00:00,2026/5/27 15:06:23
CCPRK260527018,500104-00518-01-05-B,小卡三代-后膨胀梁,个,CRK03,完工入库,R,成品库,2026/5/27 15:03:12,160,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260527_9075,2026/5/27 0:00:00,2026/5/27 15:06:21
C260527003,500110-00848-01-05,F618-中部横梁,个,CRK80,调拨出库,C,成品库,2026/5/27 14:54:21,95,202605,YXL-024,祥鑫,交付,,调拨出库扫码,YXL260522_8915,2026/5/27 0:00:00,2026/5/27 14:57:20
C260527003,500110-00848-01-01,F618-前梁01,个,CRK80,调拨出库,C,成品库,2026/5/27 14:54:21,87,202605,YXL-024,祥鑫,交付,,调拨出库扫码,YXL260527_9073,2026/5/27 0:00:00,2026/5/27 14:57:21
C260527003,500110-00848-01-07,F618-膨胀横梁2,个,CRK80,调拨出库,C,成品库,2026/5/27 14:54:21,95,202605,YXL-024,祥鑫,交付,,调拨出库扫码,YXL260527_9057,2026/5/27 0:00:00,2026/5/27 14:57:22
C260527003,500110-00848-01-03,F618-两侧梁01,个,CRK80,调拨出库,C,成品库,2026/5/27 14:54:21,95,202605,YXL-024,祥鑫,交付,,调拨出库扫码,YXL260522_8917,2026/5/27 0:00:00,2026/5/27 14:57:23
C260527003,500110-00848-01-02,F618-后梁01,个,CRK80,调拨出库,C,成品库,2026/5/27 14:54:21,95,202605,YXL-024,祥鑫,交付,,调拨出库扫码,YXL260523_8984,2026/5/27 0:00:00,2026/5/27 14:57:23
C260527003,500110-00848-01-04,F618-两侧梁02,个,CRK80,调拨出库,C,成品库,2026/5/27 14:54:21,95,202605,YXL-024,祥鑫,交付,,调拨出库扫码,YXL260522_8942,2026/5/27 0:00:00,2026/5/27 14:57:20
RZZ260527284,500104-00518-01-010-01-C,小卡三代-左边框,件,CRK31,检验入库,R,在制成品库,2026/5/27 14:52:17,50,202605,YXL-ZL0013W,机加1班,检验入库,,产品包装扫码入库,R20260524-6052-CQYXL-1687,2026/5/27 0:00:00,2026/5/27 14:54:23
RZZ260527284,500104-00518-01-05-B,小卡三代-后膨胀梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 14:51:56,42,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260526-6204-CQYXL-1979,2026/5/27 0:00:00,2026/5/27 14:54:23
BGC260527032,500104-00518-01-010-01/02-C-YL,小卡三代-左右边框,个,CRK04,生产领用,C,原材料库,2026/5/27 14:42:01,23,202605,YXL-JG0027,徐远平,生产,,生产领料,R20260527-6229-CQYXL,2026/5/27 0:00:00,2026/5/27 14:45:22
RZZ260527280,500104-00518-01-05-B,小卡三代-后膨胀梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 14:38:31,42,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260523-6040-CQYXL-1630,2026/5/27 0:00:00,2026/5/27 14:45:22
RZZ260527280,500104-00518-01-05-B,小卡三代-后膨胀梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 14:38:31,42,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260524-6123-CQYXL-1820,2026/5/27 0:00:00,2026/5/27 14:45:23
RZZ260527280,500104-00518-01-05-B,小卡三代-后膨胀梁,件,CRK31,检验入库,R,在制成品库,2026/5/27 14:38:31,42,202605,YXL-ZL0011,机加1班,检验入库,,产品包装扫码入库,R20260525-6163-CQYXL-1912,2026/5/27 0:00:00,2026/5/27 14:45:24
ZZKCK260527017,500104-00518-01-03-C,小卡三代-前边框梁,个,CRK32,包装出库,C,在制成品库,2026/5/27 14:36:07,240,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260527_9074,2026/5/27 0:00:00,2026/5/27 14:45:21
CCPRK260527017,500104-00518-01-03-C,小卡三代-前边框梁,个,CRK03,完工入库,R,成品库,2026/5/27 14:36:07,240,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260527_9074,2026/5/27 0:00:00,2026/5/27 14:45:20
ZZKCK260527016,500110-00848-01-01,F618-前梁01,个,CRK32,包装出库,C,在制成品库,2026/5/27 14:24:10,87,202605,YXL-ZC0008W,机加1班,包装转出,,产品包装扫码入出库,YXL260527_9073,2026/5/27 0:00:00,2026/5/27 14:27:39
CCPRK260527016,500110-00848-01-01,F618-前梁01,个,CRK03,完工入库,R,成品库,2026/5/27 14:24:10,87,202605,YXL-ZC0008W,机加1班,生产入库,,产品包装扫码入出库,YXL260527_9073,2026/5/27 0:00:00,2026/5/27 14:27:37
PD202605-05220,500104-00518-01-05-B-YL,小卡三代-后膨胀梁,个,CRK20,盘点入库,R,原材料库,2026/5/27 14:22:41,148,202605,YXL-024,仓储部,盘点调账,,PD202605-0522,"2026.5.27材料到货74,1切3后成222",2026/5/27 0:00:00,2026/5/27 14:24:21
